stem,leader,date,words,wer,mean_logprob,fear,anger,sadness,disgust,anticipation,trust,joy,surprise,positive,negative,net,nearest_event,outcome
1941-12-09_FDR_65,FDR,1941-12-09,3039,0.024,-0.083,47.4,34.9,19.1,14.8,29.0,41.5,19.1,9.9,57.6,52.6,5.0,United States declares war on Japan,context
1941-12-24_Churchill_66,Churchill,1941-12-24,480,,-0.398,20.8,20.8,16.7,18.8,45.8,50.0,58.3,16.7,100.0,37.5,62.5,Germany and Italy declare war on the United States,context
1941-12-30_Churchill_68,Churchill,1941-12-30,3374,,-0.385,45.3,34.4,19.3,14.8,29.3,35.3,21.0,12.4,65.8,55.7,10.1,Germany and Italy declare war on the United States,context
1942-02-15_Churchill_69,Churchill,1942-02-15,3010,,-0.127,39.9,30.9,22.3,12.6,25.2,38.2,18.6,11.6,51.2,53.2,-2.0,Fall of Singapore,defeat
1942-02-23_FDR_70,FDR,1942-02-23,4218,0.035,-0.179,36.7,29.2,18.0,11.4,23.9,37.0,15.4,6.2,64.5,46.0,18.5,Fall of Singapore,defeat
1942-04-28_FDR_71,FDR,1942-04-28,3870,0.056,-0.167,46.0,29.7,23.0,9.3,27.1,38.8,21.4,15.8,60.5,53.2,7.3,Battle of Midway,victory
1942-05-10_Churchill_72,Churchill,1942-05-10,1592,,-0.103,35.8,28.3,25.1,9.4,32.0,39.6,23.2,15.1,59.7,54.0,5.7,Battle of Midway,victory
1942-09-07_FDR_73,FDR,1942-09-07,3152,0.043,-0.128,34.3,24.1,24.4,9.8,29.8,31.1,17.4,11.7,51.4,50.1,1.3,Guadalcanal campaign begins,victory
1942-11-10_Churchill_75,Churchill,1942-11-10,382,,-0.21,49.7,39.3,36.6,18.3,28.8,41.9,23.6,7.9,70.7,65.4,5.3,Second Battle of El Alamein ends,victory
1943-03-21_Churchill_76,Churchill,1943-03-21,6198,,-0.235,25.8,15.0,12.6,6.3,39.9,53.6,28.2,14.4,78.6,38.6,40.0,German surrender at Stalingrad,victory
1943-05-02_FDR_77,FDR,1943-05-02,2490,0.037,-0.146,29.3,21.7,12.4,6.0,23.3,41.4,16.1,8.4,62.2,45.0,17.2,Axis surrender in Tunisia,victory
1943-05-19_Churchill_78,Churchill,1943-05-19,5629,,-0.273,41.9,24.9,18.3,13.5,27.5,39.8,19.7,11.2,66.1,51.0,15.1,Axis surrender in Tunisia,victory
1943-06-30_Churchill_81,Churchill,1943-06-30,2756,,-0.135,36.6,22.1,18.1,9.1,28.3,36.3,26.1,11.2,63.5,47.5,16.0,Allied invasion of Sicily,victory
1943-07-28_FDR_82,FDR,1943-07-28,3418,0.047,-0.212,38.9,26.6,13.5,5.9,31.9,46.5,18.7,6.4,67.9,50.9,17.0,Allied invasion of Sicily,victory
1943-08-31_Churchill_83,Churchill,1943-08-31,1330,,-0.143,29.3,13.5,12.8,5.3,30.8,38.3,30.8,12.8,70.7,39.1,31.6,Italy announces armistice,victory
1943-09-06_Churchill_84,Churchill,1943-09-06,1686,,-0.232,21.4,14.8,6.5,3.6,27.9,42.7,23.7,15.4,76.5,27.3,49.2,Italy announces armistice,victory
1943-09-08_FDR_86,FDR,1943-09-08,1436,0.031,-0.187,41.1,29.2,11.8,15.3,42.5,51.5,31.3,14.6,74.5,46.0,28.5,Italy announces armistice,victory
1943-10-28_Churchill_88,Churchill,1943-10-28,1664,,-0.162,31.2,16.2,18.6,9.0,24.6,36.7,14.4,7.8,58.3,38.5,19.8,Tehran Conference concludes,context
1944-01-11_FDR_89,FDR,1944-01-11,3469,0.049,-0.213,36.3,21.9,19.3,9.5,33.7,55.3,24.5,9.8,71.8,51.9,19.9,Tehran Conference concludes,context
1944-03-26_Churchill_90,Churchill,1944-03-26,5687,,-0.215,36.9,22.0,17.6,8.4,31.8,35.5,21.6,12.5,64.2,46.9,17.3,D-Day Normandy landings,victory
1944-06-05_FDR_91,FDR,1944-06-05,1719,0.071,-0.169,26.2,18.6,19.2,4.7,36.6,38.4,24.4,10.5,69.2,36.1,33.1,D-Day Normandy landings,victory
1944-06-12_FDR_92,FDR,1944-06-12,1609,0.038,-0.102,47.2,34.2,15.5,7.5,33.6,31.7,19.9,6.2,59.7,57.8,1.9,D-Day Normandy landings,victory
1944-11-09_Churchill_94,Churchill,1944-11-09,1156,,-0.207,29.4,16.4,11.2,7.8,31.1,26.8,16.4,11.2,50.2,36.3,13.9,US forces land at Leyte,victory
1945-05-08_Churchill_99,Churchill,1945-05-08,691,,-0.213,44.9,24.6,20.3,14.5,30.4,43.4,27.5,10.1,65.1,47.8,17.3,Victory in Europe Day,victory
